orbit_key,dataset,collection,product_type,mode,orbit_state,track,track_number,frame,frame_number,scene_count,unique_footprints,repeat_cycles,absolute_orbits,first_start_time,last_stop_time,example_scene
SCS_T020_F303,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F303,303,82,41,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:46:39.086Z,2026-03-31T08:52:14.872Z,BIO_S2_SCS__1S_20251213T084651_20251213T084712_T_G01_M01_C01_T020_F303_01_DJL99U
SCS_T020_F304,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F304,304,82,41,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:46:58.094Z,2026-03-31T08:52:33.878Z,BIO_S2_SCS__1M_20251213T084710_20251213T084731_T_G01_M01_C01_T020_F304_01_DJL9BW
SCS_T020_F305,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F305,305,80,40,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:47:17.100Z,2026-03-31T08:52:52.884Z,BIO_S2_SCS__1S_20251231T084739_20251231T084800_T_G01_M01_C07_T020_F305_01_DKIPIM
SCS_T020_F306,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F306,306,80,40,"1,10,2,3,4,5,6,7,8,9","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:47:28.205Z,2026-03-31T08:53:11.890Z,BIO_S1_SCS__1M_20251201T084742_20251201T084802_T_G01_M01_C04_T020_F306_01_DKPSP6
SCS_T020_F307,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F307,307,86,43,"1,10,2,3,4,5,6,7,8,9,DR","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4092,4136,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:47:55.110Z,2026-03-31T08:53:30.890Z,BIO_S1_SCS__1M_20251201T084801_20251201T084821_T_G01_M01_C04_T020_F307_01_DKPSPW
SCS_T020_F308,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F308,308,86,43,"1,10,2,3,4,5,6,7,8,9,DR","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4092,4136,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:48:14.112Z,2026-03-31T08:53:49.895Z,BIO_S2_SCS__1M_20251213T084826_20251213T084847_T_G01_M01_C01_T020_F308_01_DJL9QJ
SCS_T020_F309,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,ASCENDING,T020,20,F309,309,82,41,"1,10,2,3,4,5,6,7,8,9,DR","3036,3080,3124,3168,3344,3388,3432,3476,3520,3564,3608,3652,3696,3740,3784,3828,3872,3916,3960,4004,4048,4092,4136,4224,4268,4312,4356,4400,4444,4488,4532,4576,4620,4664,4708,4752,4796,4840,4884,4928",2025-11-22T08:48:33.312Z,2026-03-31T08:54:08.896Z,BIO_S1_SCS__1S_20251201T084839_20251201T084859_T_G01_M01_C04_T020_F309_01_DKPSQF
SCS_T028_F157,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T028,28,F157,157,82,41,"1,10,2,3,4,5,6,7,8,9,DR","3044,3088,3132,3176,3352,3396,3440,3484,3528,3572,3616,3660,3704,3792,3836,3880,3924,3968,4012,4056,4100,4144,4232,4276,4320,4364,4408,4452,4496,4540,4584,4628,4672,4716,4760,4804,4848,4892,4936",2025-11-22T21:05:49.684Z,2026-03-31T21:11:23.483Z,BIO_S1_SCS__1S_20260217T211035_20260217T211056_T_G01_M02_C03_T028_F157_01_DN0M76
SCS_T028_F158,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T028,28,F158,158,82,41,"1,10,2,3,4,5,6,7,8,9,DR","3044,3088,3132,3176,3352,3396,3440,3484,3528,3572,3616,3660,3704,3792,3836,3880,3924,3968,4012,4056,4100,4144,4232,4276,4320,4364,4408,4452,4496,4540,4584,4628,4672,4716,4760,4804,4848,4892,4936",2025-11-22T21:06:06.696Z,2026-03-31T21:11:42.485Z,BIO_S1_SCS__1M_20260217T211054_20260217T211115_T_G01_M02_C03_T028_F158_01_DN0MDH
SCS_T028_F159,BIOMASS,BiomassLevel1a,S1_SCS__1S,SCS,DESCENDING,T028,28,F159,159,82,41,"1,10,2,3,4,5,6,7,8,9,DR","3044,3088,3132,3176,3352,3396,3440,3484,3528,3572,3616,3660,3704,3792,3836,3880,3924,3968,4012,4056,4100,4144,4232,4276,4320,4364,4408,4452,4496,4540,4584,4628,4672,4716,4760,4804,4848,4892,4936",2025-11-22T21:06:25.699Z,2026-03-31T21:12:01.486Z,BIO_S1_SCS__1M_20251122T210625_20251122T210646_T_G01_M01_C01_T028_F159_01_DKLZ3P
