poly_id,class,domain,sample,scene_time,product_id
Sv_03_U_111,Sv,03,U,2026-03-14T08:45:13+00:00,S1A_IW_SLC__1SDV_20260314T084513_20260314T084540_063621_07FF27_29EA-SLC
Sv_03_W_110,Sv,03,W,2026-03-14T08:45:37+00:00,S1A_IW_SLC__1SDV_20260314T084537_20260314T084605_063621_07FF27_05FE-SLC
Sv_04_U_126,Sv,04,U,2026-03-14T08:46:28+00:00,S1A_IW_SLC__1SDV_20260314T084628_20260314T084652_063621_07FF27_F992-SLC
Fo_01_R_33,Fo,01,R,2026-03-15T08:35:48+00:00,S1C_IW_SLC__1SDV_20260315T083548_20260315T083619_006772_00DAEF_15A2-SLC
Gl_02_B_102,Gl,02,B,2026-03-15T08:35:48+00:00,S1C_IW_SLC__1SDV_20260315T083548_20260315T083619_006772_00DAEF_15A2-SLC
Gl_03_B_117,Gl,03,B,2026-03-15T08:35:48+00:00,S1C_IW_SLC__1SDV_20260315T083548_20260315T083619_006772_00DAEF_15A2-SLC
Sv_01_R_38,Sv,01,R,2026-03-15T08:35:48+00:00,S1C_IW_SLC__1SDV_20260315T083548_20260315T083619_006772_00DAEF_15A2-SLC
Gl_03_R_118,Gl,03,R,2026-03-15T08:36:17+00:00,S1C_IW_SLC__1SDV_20260315T083617_20260315T083644_006772_00DAEF_6E66-SLC
Gl_08_W_25,Gl,08,W,2026-03-15T08:36:17+00:00,S1C_IW_SLC__1SDV_20260315T083617_20260315T083644_006772_00DAEF_6E66-SLC
Sv_03_B_112,Sv,03,B,2026-03-15T08:36:17+00:00,S1C_IW_SLC__1SDV_20260315T083617_20260315T083644_006772_00DAEF_6E66-SLC
Fo_03_B_107,Fo,03,B,2026-03-15T08:36:41+00:00,S1C_IW_SLC__1SDV_20260315T083641_20260315T083708_006772_00DAEF_380A-SLC
Fo_08_G_19,Fo,08,G,2026-03-15T08:36:41+00:00,S1C_IW_SLC__1SDV_20260315T083641_20260315T083708_006772_00DAEF_380A-SLC
Gl_08_B_27,Gl,08,B,2026-03-15T08:36:41+00:00,S1C_IW_SLC__1SDV_20260315T083641_20260315T083708_006772_00DAEF_380A-SLC
