poly_id,class,domain,sample,scene_time,scene_name
Fo_04_W_120,Fo,04,W,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Fo_06_B_62,Fo,06,B,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Fo_06_U_61,Fo,06,U,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Fo_06_W_60,Fo,06,W,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Gl_06_B_72,Gl,06,B,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Gl_06_U_71,Gl,06,U,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Gl_06_W_70,Gl,06,W,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Sv_06_G_69,Sv,06,G,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Sv_06_R_68,Sv,06,R,2026-07-15T09:26:21+00:00,NISAR_L2_PR_GSLC_025_103_A_170_2005_DHDH_A_20260715T092621_20260715T092656_P05023_N_F_J_001
Fo_09_R_78,Fo,09,R,2026-07-15T09:26:55+00:00,NISAR_L2_PR_GSLC_025_103_A_171_2005_DHDH_A_20260715T092655_20260715T092729_P05023_N_F_J_001
Sv_09_R_83,Sv,09,R,2026-07-15T09:26:55+00:00,NISAR_L2_PR_GSLC_025_103_A_171_2005_DHDH_A_20260715T092655_20260715T092729_P05023_N_F_J_001
Fo_09_B_77,Fo,09,B,2026-07-15T22:02:40+00:00,NISAR_L2_PR_GSLC_025_111_D_095_2005_DHDH_A_20260715T220240_20260715T220315_P05023_N_F_J_001
Fo_09_U_76,Fo,09,U,2026-07-15T22:02:40+00:00,NISAR_L2_PR_GSLC_025_111_D_095_2005_DHDH_A_20260715T220240_20260715T220315_P05023_N_F_J_001
Gl_09_R_88,Gl,09,R,2026-07-15T22:02:40+00:00,NISAR_L2_PR_GSLC_025_111_D_095_2005_DHDH_A_20260715T220240_20260715T220315_P05023_N_F_J_001
Fo_11_U_136,Fo,11,U,2026-07-15T22:03:14+00:00,NISAR_L2_PR_GSLC_025_111_D_096_2005_DHDH_A_20260715T220314_20260715T220348_P05023_N_F_J_001
Gl_09_G_89,Gl,09,G,2026-07-15T22:03:14+00:00,NISAR_L2_PR_GSLC_025_111_D_096_2005_DHDH_A_20260715T220314_20260715T220348_P05023_N_F_J_001
Gl_09_W_85,Gl,09,W,2026-07-15T22:03:14+00:00,NISAR_L2_PR_GSLC_025_111_D_096_2005_DHDH_A_20260715T220314_20260715T220348_P05023_N_F_J_001
Sv_02_G_99,Sv,02,G,2026-07-16T08:44:44+00:00,NISAR_L2_PR_GSLC_025_117_A_170_2005_DHDH_A_20260716T084444_20260716T084519_P05023_N_F_J_001
Sv_11_U_141,Sv,11,U,2026-07-16T08:45:51+00:00,NISAR_L2_PR_GSLC_025_117_A_172_2005_DHDH_A_20260716T084551_20260716T084626_P05023_N_F_J_001
Sv_02_R_98,Sv,02,R,2026-07-16T08:46:25+00:00,NISAR_L2_PR_GSLC_025_117_A_173_2005_DHDH_A_20260716T084625_20260716T084659_P05023_N_F_J_001
Fo_02_R_93,Fo,02,R,2026-07-16T08:46:58+00:00,NISAR_L2_PR_GSLC_025_117_A_174_2005_DHDH_A_20260716T084658_20260716T084733_P05023_N_F_J_001
Sv_02_B_97,Sv,02,B,2026-07-16T08:46:58+00:00,NISAR_L2_PR_GSLC_025_117_A_174_2005_DHDH_A_20260716T084658_20260716T084733_P05023_N_F_J_001
Fo_11_G_139,Fo,11,G,2026-07-16T08:47:32+00:00,NISAR_L2_PR_GSLC_025_117_A_175_2005_DHDH_A_20260716T084732_20260716T084806_P05023_N_F_J_001
Gl_01_G_44,Gl,01,G,2026-07-16T21:20:29+00:00,NISAR_L2_PR_GSLC_025_125_D_094_2005_SHSH_A_20260716T212029_20260716T212104_P05023_N_F_J_001
Gl_02_U_101,Gl,02,U,2026-07-16T21:20:29+00:00,NISAR_L2_PR_GSLC_025_125_D_094_2005_SHSH_A_20260716T212029_20260716T212104_P05023_N_F_J_001
Gl_02_W_100,Gl,02,W,2026-07-16T21:20:29+00:00,NISAR_L2_PR_GSLC_025_125_D_094_2005_SHSH_A_20260716T212029_20260716T212104_P05023_N_F_J_001
Fo_02_G_94,Fo,02,G,2026-07-16T21:21:03+00:00,NISAR_L2_PR_GSLC_025_125_D_095_2005_SHSH_A_20260716T212103_20260716T212137_P05023_N_F_J_001
Gl_02_R_103,Gl,02,R,2026-07-16T21:21:03+00:00,NISAR_L2_PR_GSLC_025_125_D_095_2005_SHSH_A_20260716T212103_20260716T212137_P05023_N_F_J_001
Sv_01_B_37,Sv,01,B,2026-07-16T21:21:03+00:00,NISAR_L2_PR_GSLC_025_125_D_095_2005_SHSH_A_20260716T212103_20260716T212137_P05023_N_F_J_001
Fo_01_R_33,Fo,01,R,2026-07-16T21:21:36+00:00,NISAR_L2_PR_GSLC_025_125_D_096_2005_SHSH_A_20260716T212136_20260716T212211_P05023_N_F_J_001
Fo_03_G_109,Fo,03,G,2026-07-16T21:21:36+00:00,NISAR_L2_PR_GSLC_025_125_D_096_2005_SHSH_A_20260716T212136_20260716T212211_P05023_N_F_J_001
