file_name,date,track,frame
BIO_S1_SCS__1S_20251125T084738_20251125T084758_T_G01_M01_C02_T020_F306_01_DNUKKB.zip,20251125,T020,F306
BIO_S1_SCS__1S_20251125T084757_20251125T084817_T_G01_M01_C02_T020_F307_01_DKCNV8.zip,20251125,T020,F307
BIO_S1_SCS__1S_20251125T084757_20251125T084817_T_G01_M01_C02_T020_F307_01_DNUKCP.zip,20251125,T020,F307
BIO_S1_SCS__1S_20251125T084816_20251125T084836_T_G01_M01_C02_T020_F308_01_DKCNVK.zip,20251125,T020,F308
BIO_S1_SCS__1S_20251125T084816_20251125T084836_T_G01_M01_C02_T020_F308_01_DNUKD0.zip,20251125,T020,F308
BIO_S1_SCS__1S_20251125T084835_20251125T084855_T_G01_M01_C02_T020_F309_01_DNUKCO.zip,20251125,T020,F309
BIO_S1_SCS__1S_20251125T210551_20251125T210610_T_G01_M01_C02_T028_F157_01_DK9H5Z.zip,20251125,T028,F157
BIO_S1_SCS__1S_20251125T210551_20251125T210610_T_G01_M01_C02_T028_F157_01_DNV1FM.zip,20251125,T028,F157
BIO_S1_SCS__1S_20251125T210608_20251125T210629_T_G01_M01_C02_T028_F158_01_DK9H6P.zip,20251125,T028,F158
BIO_S1_SCS__1S_20251125T210608_20251125T210629_T_G01_M01_C02_T028_F158_01_DNV1GA.zip,20251125,T028,F158
BIO_S1_SCS__1S_20251125T210627_20251125T210648_T_G01_M01_C02_T028_F159_01_DK9H5E.zip,20251125,T028,F159
BIO_S1_SCS__1S_20251125T210627_20251125T210648_T_G01_M01_C02_T028_F159_01_DNV1GK.zip,20251125,T028,F159
BIO_S1_SCS__1S_20251125T210646_20251125T210707_T_G01_M01_C02_T028_F160_01_DK9H6X.zip,20251125,T028,F160
BIO_S1_SCS__1S_20251125T210646_20251125T210707_T_G01_M01_C02_T028_F160_01_DNV1K5.zip,20251125,T028,F160
BIO_S1_SCS__1S_20251125T210705_20251125T210726_T_G01_M01_C02_T028_F161_01_DK9H4B.zip,20251125,T028,F161
BIO_S1_SCS__1S_20251125T210705_20251125T210726_T_G01_M01_C02_T028_F161_01_DNV17Y.zip,20251125,T028,F161
BIO_S1_SCS__1S_20251125T210724_20251125T210745_T_G01_M01_C02_T028_F162_01_DK9H4D.zip,20251125,T028,F162
BIO_S1_SCS__1S_20251125T210743_20251125T210804_T_G01_M01_C02_T028_F163_01_DK9H59.zip,20251125,T028,F163
BIO_S1_SCS__1S_20251125T210743_20251125T210804_T_G01_M01_C02_T028_F163_01_DNV15L.zip,20251125,T028,F163
BIO_S1_SCS__1S_20251125T210802_20251125T210823_T_G01_M01_C02_T028_F164_01_DK9H4N.zip,20251125,T028,F164
BIO_S1_SCS__1S_20251125T210802_20251125T210823_T_G01_M01_C02_T028_F164_01_DNV15X.zip,20251125,T028,F164
BIO_S1_SCS__1S_20251125T210821_20251125T210842_T_G01_M01_C02_T028_F165_01_DK9H4T.zip,20251125,T028,F165
BIO_S1_SCS__1S_20251125T210821_20251125T210842_T_G01_M01_C02_T028_F165_01_DNV169.zip,20251125,T028,F165
BIO_S1_SCS__1S_20251125T210840_20251125T210901_T_G01_M01_C02_T028_F166_01_DK9HGV.zip,20251125,T028,F166
BIO_S1_SCS__1S_20251125T210840_20251125T210901_T_G01_M01_C02_T028_F166_01_DNV151.zip,20251125,T028,F166
BIO_S1_SCS__1S_20251125T210859_20251125T210920_T_G01_M01_C02_T028_F167_01_DK9HG8.zip,20251125,T028,F167
BIO_S1_SCS__1S_20251125T210859_20251125T210920_T_G01_M01_C02_T028_F167_01_DNV148.zip,20251125,T028,F167
BIO_S1_SCS__1S_20251125T210918_20251125T210939_T_G01_M01_C02_T028_F168_01_DK9HEJ.zip,20251125,T028,F168
BIO_S1_SCS__1S_20251125T210918_20251125T210939_T_G01_M01_C02_T028_F168_01_DNV190.zip,20251125,T028,F168
BIO_S1_SCS__1S_20251125T210937_20251125T210958_T_G01_M01_C02_T028_F169_01_DK9HEW.zip,20251125,T028,F169
BIO_S1_SCS__1S_20251125T210937_20251125T210958_T_G01_M01_C02_T028_F169_01_DNV158.zip,20251125,T028,F169
BIO_S1_SCS__1S_20251125T210956_20251125T211017_T_G01_M01_C02_T028_F170_01_DK9HEV.zip,20251125,T028,F170
BIO_S1_SCS__1S_20251125T210956_20251125T211017_T_G01_M01_C02_T028_F170_01_DNV13V.zip,20251125,T028,F170
BIO_S1_SCS__1S_20251125T211015_20251125T211036_T_G01_M01_C02_T028_F171_01_DK9FXJ.zip,20251125,T028,F171
BIO_S1_SCS__1S_20251125T211015_20251125T211036_T_G01_M01_C02_T028_F171_01_DNV0NY.zip,20251125,T028,F171
BIO_S1_SCS__1S_20251125T211034_20251125T211055_T_G01_M01_C02_T028_F172_01_DK9FWC.zip,20251125,T028,F172
BIO_S1_SCS__1S_20251125T211034_20251125T211055_T_G01_M01_C02_T028_F172_01_DNV0NF.zip,20251125,T028,F172
BIO_S1_SCS__1S_20251125T211053_20251125T211114_T_G01_M01_C02_T028_F173_01_DK9FTZ.zip,20251125,T028,F173
BIO_S1_SCS__1S_20251125T211053_20251125T211114_T_G01_M01_C02_T028_F173_01_DNV0NE.zip,20251125,T028,F173
BIO_S1_SCS__1S_20251125T211112_20251125T211133_T_G01_M01_C02_T028_F174_01_DK9FVS.zip,20251125,T028,F174
BIO_S1_SCS__1S_20251125T211113_20251125T211133_T_G01_M01_C02_T028_F174_01_DNV0N7.zip,20251125,T028,F174
BIO_S1_SCS__1S_20251125T211131_20251125T211152_T_G01_M01_C02_T028_F175_01_DK9FV1.zip,20251125,T028,F175
BIO_S1_SCS__1S_20251125T211132_20251125T211152_T_G01_M01_C02_T028_F175_01_DNV0S7.zip,20251125,T028,F175
BIO_S1_SCS__1S_20251125T211150_20251125T211211_T_G01_M01_C02_T028_F176_01_DK9FHS.zip,20251125,T028,F176
BIO_S1_SCS__1S_20251125T211151_20251125T211211_T_G01_M01_C02_T028_F176_01_DNV1AU.zip,20251125,T028,F176
BIO_S1_SCS__1S_20251126T091506_20251126T091519_T_G01_M01_C02_T035_F289_01_DK96P9.zip,20251126,T035,F289
BIO_S1_SCS__1S_20251126T091506_20251126T091519_T_G01_M01_C02_T035_F289_01_DNVFG7.zip,20251126,T035,F289
BIO_S1_SCS__1S_20251126T091517_20251126T091538_T_G01_M01_C02_T035_F290_01_DK96PM.zip,20251126,T035,F290
BIO_S1_SCS__1S_20251126T091518_20251126T091538_T_G01_M01_C02_T035_F290_01_DNVFGF.zip,20251126,T035,F290
BIO_S1_SCS__1S_20251126T091537_20251126T091557_T_G01_M01_C02_T035_F291_01_DNVF98.zip,20251126,T035,F291
BIO_S1_SCS__1S_20251126T091556_20251126T091616_T_G01_M01_C02_T035_F292_01_DK96QG.zip,20251126,T035,F292
BIO_S1_SCS__1S_20251126T091556_20251126T091616_T_G01_M01_C02_T035_F292_01_DNVFAN.zip,20251126,T035,F292
BIO_S1_SCS__1S_20251126T091615_20251126T091635_T_G01_M01_C02_T035_F293_01_DK96Q0.zip,20251126,T035,F293
BIO_S1_SCS__1S_20251126T091615_20251126T091635_T_G01_M01_C02_T035_F293_01_DNVFC7.zip,20251126,T035,F293
BIO_S1_SCS__1S_20251126T091634_20251126T091654_T_G01_M01_C02_T035_F294_01_DK96QO.zip,20251126,T035,F294
BIO_S1_SCS__1S_20251126T091634_20251126T091654_T_G01_M01_C02_T035_F294_01_DNVF9I.zip,20251126,T035,F294
BIO_S1_SCS__1S_20251126T091653_20251126T091713_T_G01_M01_C02_T035_F295_01_DK96Q6.zip,20251126,T035,F295
BIO_S1_SCS__1S_20251126T091653_20251126T091713_T_G01_M01_C02_T035_F295_01_DNVFC7.zip,20251126,T035,F295
BIO_S1_SCS__1S_20251126T091712_20251126T091721_T_G01_M01_C02_T035_F296_01_DK96P7.zip,20251126,T035,F296
BIO_S1_SCS__1S_20251126T091712_20251126T091732_T_G01_M01_C02_T035_F296_01_DK96R1.zip,20251126,T035,F296
BIO_S1_SCS__1S_20251126T091712_20251126T091732_T_G01_M01_C02_T035_F296_01_DNVFCW.zip,20251126,T035,F296
BIO_S1_SCS__1S_20251126T091731_20251126T091751_T_G01_M01_C02_T035_F297_01_DK96QD.zip,20251126,T035,F297
BIO_S1_SCS__1S_20251126T091731_20251126T091751_T_G01_M01_C02_T035_F297_01_DNVFDM.zip,20251126,T035,F297
BIO_S1_SCS__1S_20251126T091750_20251126T091810_T_G01_M01_C02_T035_F298_01_DK96QV.zip,20251126,T035,F298
BIO_S1_SCS__1S_20251126T091750_20251126T091810_T_G01_M01_C02_T035_F298_01_DNVFD3.zip,20251126,T035,F298
BIO_S1_SCS__1S_20251126T091809_20251126T091829_T_G01_M01_C02_T035_F299_01_DK96RP.zip,20251126,T035,F299
BIO_S1_SCS__1S_20251126T091809_20251126T091829_T_G01_M01_C02_T035_F299_01_DNVFDB.zip,20251126,T035,F299
BIO_S1_SCS__1S_20251126T091828_20251126T091848_T_G01_M01_C02_T035_F300_01_DK96R9.zip,20251126,T035,F300
BIO_S1_SCS__1S_20251126T091828_20251126T091848_T_G01_M01_C02_T035_F300_01_DNVFAQ.zip,20251126,T035,F300
BIO_S1_SCS__1S_20251126T091847_20251126T091907_T_G01_M01_C02_T035_F301_01_DK96PQ.zip,20251126,T035,F301
BIO_S1_SCS__1S_20251126T091847_20251126T091907_T_G01_M01_C02_T035_F301_01_DNVF4Z.zip,20251126,T035,F301
