query_name,feature_index,dataset,platform,product_id,processing_level,flight_direction,relative_orbit,absolute_orbit,frame_number,start_time,stop_time,scene_name
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_140_D_095_2005_SHSH_A_20251213T221919_20251213T221954_X05009_N_F_J_001,GSLC,DESCENDING,140,1969,95,2025-12-13T22:19:19Z,2025-12-13T22:19:54Z,NISAR_L2_PR_GSLC_007_140_D_095_2005_SHSH_A_20251213T221919_20251213T221954_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_146_A_172_2005_DHDH_A_20251214T090230_20251214T090305_X05009_N_F_J_001,GSLC,ASCENDING,146,1975,172,2025-12-14T09:02:30Z,2025-12-14T09:03:05Z,NISAR_L2_PR_GSLC_007_146_A_172_2005_DHDH_A_20251214T090230_20251214T090305_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_146_A_173_2005_DHDH_A_20251214T090304_20251214T090338_X05009_N_F_J_001,GSLC,ASCENDING,146,1975,173,2025-12-14T09:03:04Z,2025-12-14T09:03:38Z,NISAR_L2_PR_GSLC_007_146_A_173_2005_DHDH_A_20251214T090304_20251214T090338_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_007_146_A_174_2005_DHDH_A_20251214T090337_20251214T090412_X05009_N_F_J_001,GSLC,ASCENDING,146,1975,174,2025-12-14T09:03:37Z,2025-12-14T09:04:12Z,NISAR_L2_PR_GSLC_007_146_A_174_2005_DHDH_A_20251214T090337_20251214T090412_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_016_A_175_4005_DHDH_A_20251217T083943_20251217T083948_X05009_N_P_J_001,GSLC,ASCENDING,16,2018,175,2025-12-17T08:39:43Z,2025-12-17T08:39:48Z,NISAR_L2_PR_GSLC_008_016_A_175_4005_DHDH_A_20251217T083943_20251217T083948_X05009_N_P_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_016_A_176_4005_DHDH_A_20251217T083947_20251217T084021_X05009_N_F_J_001,GSLC,ASCENDING,16,2018,176,2025-12-17T08:39:47Z,2025-12-17T08:40:21Z,NISAR_L2_PR_GSLC_008_016_A_176_4005_DHDH_A_20251217T083947_20251217T084021_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_045_A_174_2005_SHSH_A_20251219T085517_20251219T085553_X05009_N_F_J_001,GSLC,ASCENDING,45,2047,174,2025-12-19T08:55:17Z,2025-12-19T08:55:53Z,NISAR_L2_PR_GSLC_008_045_A_174_2005_SHSH_A_20251219T085517_20251219T085553_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_045_A_173_2005_SHSH_A_20251219T085517_20251219T085520_X05010_N_P_J_001,GSLC,ASCENDING,45,2047,173,2025-12-19T08:55:17Z,2025-12-19T08:55:20Z,NISAR_L2_PR_GSLC_008_045_A_173_2005_SHSH_A_20251219T085517_20251219T085520_X05010_N_P_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_045_A_175_2005_SHSH_A_20251219T085552_20251219T085626_X05009_N_F_J_001,GSLC,ASCENDING,45,2047,175,2025-12-19T08:55:52Z,2025-12-19T08:56:26Z,NISAR_L2_PR_GSLC_008_045_A_175_2005_SHSH_A_20251219T085552_20251219T085626_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_117_A_170_2005_DHDH_A_20251224T084445_20251224T084520_X05009_N_F_J_001,GSLC,ASCENDING,117,2119,170,2025-12-24T08:44:45Z,2025-12-24T08:45:20Z,NISAR_L2_PR_GSLC_008_117_A_170_2005_DHDH_A_20251224T084445_20251224T084520_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_117_A_171_2005_DHDH_A_20251224T084519_20251224T084553_X05009_N_F_J_001,GSLC,ASCENDING,117,2119,171,2025-12-24T08:45:19Z,2025-12-24T08:45:53Z,NISAR_L2_PR_GSLC_008_117_A_171_2005_DHDH_A_20251224T084519_20251224T084553_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_117_A_172_2005_DHDH_A_20251224T084552_20251224T084627_X05009_N_F_J_001,GSLC,ASCENDING,117,2119,172,2025-12-24T08:45:52Z,2025-12-24T08:46:27Z,NISAR_L2_PR_GSLC_008_117_A_172_2005_DHDH_A_20251224T084552_20251224T084627_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_117_A_173_2005_DHDH_A_20251224T084626_20251224T084700_X05009_N_F_J_001,GSLC,ASCENDING,117,2119,173,2025-12-24T08:46:26Z,2025-12-24T08:47:00Z,NISAR_L2_PR_GSLC_008_117_A_173_2005_DHDH_A_20251224T084626_20251224T084700_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_117_A_174_2005_DHDH_A_20251224T084659_20251224T084734_X05009_N_F_J_001,GSLC,ASCENDING,117,2119,174,2025-12-24T08:46:59Z,2025-12-24T08:47:34Z,NISAR_L2_PR_GSLC_008_117_A_174_2005_DHDH_A_20251224T084659_20251224T084734_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_008_117_A_175_2005_DHDH_A_20251224T084733_20251224T084807_X05009_N_F_J_001,GSLC,ASCENDING,117,2119,175,2025-12-24T08:47:33Z,2025-12-24T08:48:07Z,NISAR_L2_PR_GSLC_008_117_A_175_2005_DHDH_A_20251224T084733_20251224T084807_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_009_016_A_175_4005_DHDH_A_20251229T083943_20251229T083948_X05009_N_P_J_001,GSLC,ASCENDING,16,2191,175,2025-12-29T08:39:43Z,2025-12-29T08:39:48Z,NISAR_L2_PR_GSLC_009_016_A_175_4005_DHDH_A_20251229T083943_20251229T083948_X05009_N_P_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_009_016_A_176_4005_DHDH_A_20251229T083947_20251229T084021_X05009_N_F_J_001,GSLC,ASCENDING,16,2191,176,2025-12-29T08:39:47Z,2025-12-29T08:40:21Z,NISAR_L2_PR_GSLC_009_016_A_176_4005_DHDH_A_20251229T083947_20251229T084021_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_009_117_A_170_2005_DHDH_A_20260105T084446_20260105T084520_X05009_N_F_J_001,GSLC,ASCENDING,117,2292,170,2026-01-05T08:44:46Z,2026-01-05T08:45:20Z,NISAR_L2_PR_GSLC_009_117_A_170_2005_DHDH_A_20260105T084446_20260105T084520_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_009_117_A_171_2005_DHDH_A_20260105T084519_20260105T084554_X05009_N_F_J_001,GSLC,ASCENDING,117,2292,171,2026-01-05T08:45:19Z,2026-01-05T08:45:54Z,NISAR_L2_PR_GSLC_009_117_A_171_2005_DHDH_A_20260105T084519_20260105T084554_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_009_117_A_172_2005_DHDH_A_20260105T084553_20260105T084627_X05009_N_F_J_001,GSLC,ASCENDING,117,2292,172,2026-01-05T08:45:53Z,2026-01-05T08:46:27Z,NISAR_L2_PR_GSLC_009_117_A_172_2005_DHDH_A_20260105T084553_20260105T084627_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_009_117_A_173_2005_DHDH_A_20260105T084626_20260105T084701_X05009_N_F_J_001,GSLC,ASCENDING,117,2292,173,2026-01-05T08:46:26Z,2026-01-05T08:47:01Z,NISAR_L2_PR_GSLC_009_117_A_173_2005_DHDH_A_20260105T084626_20260105T084701_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_009_117_A_174_2005_DHDH_A_20260105T084700_20260105T084734_X05009_N_F_J_001,GSLC,ASCENDING,117,2292,174,2026-01-05T08:47:00Z,2026-01-05T08:47:34Z,NISAR_L2_PR_GSLC_009_117_A_174_2005_DHDH_A_20260105T084700_20260105T084734_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_009_117_A_175_2005_DHDH_A_20260105T084733_20260105T084807_X05009_N_F_J_001,GSLC,ASCENDING,117,2292,175,2026-01-05T08:47:33Z,2026-01-05T08:48:07Z,NISAR_L2_PR_GSLC_009_117_A_175_2005_DHDH_A_20260105T084733_20260105T084807_X05009_N_F_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_010_016_A_175_4005_DHDH_A_20260110T083944_20260110T083949_X05009_N_P_J_001,GSLC,ASCENDING,16,2364,175,2026-01-10T08:39:44Z,2026-01-10T08:39:49Z,NISAR_L2_PR_GSLC_010_016_A_175_4005_DHDH_A_20260110T083944_20260110T083949_X05009_N_P_J_001
feature_0_part_1_split_1,0,NISAR,NISAR,NISAR_L2_PR_GSLC_010_016_A_176_4005_DHDH_A_20260110T083948_20260110T084022_X05010_N_F_J_001,GSLC,ASCENDING,16,2364,176,2026-01-10T08:39:48Z,2026-01-10T08:40:22Z,NISAR_L2_PR_GSLC_010_016_A_176_4005_DHDH_A_20260110T083948_20260110T084022_X05010_N_F_J_001
